file,fname,arg_types,ret_type
'stats::SSbiexp','plot',"'v<double>','v<double>','character','double','v<double>','v<double>','character'",'NULL',
'stats::SSbiexp','predict',"'list','list'",'double',
'stats::SSbiexp','list',"'double','v<double>'",'list',
'stats::SSbiexp','list',"'double','logical','double','logical'",'list',
'stats::xtabs','list',"'v<double>','integer','integer','v<integer>'",'list',
'stats::xtabs','data.frame',"'v<character>','integer'",'list',
'stats::xtabs','list',"'v<character>','integer'",'list',
'stats::xtabs','sample',"'double','double'",'v<integer>',
'stats::xtabs','xtabs',"'formula','list','logical'",'dgCMatrix',
'stats::xtabs','as.integer',"'integer'",'v<integer>',
'stats::kruskal.test','rep',"'v<integer>','v<double>'",'v<integer>',
'stats::termplot','%in%',"'character','v<character>'",'logical',
'stats::termplot','rep',"'v<character>','double'",'v<character>',
'stats::termplot','glm',"'formula'",'list',
'stats::termplot','paste',"'character','v<character>','character'",'v<character>',
'stats::se.contrast','list',"'v<logical>','v<logical>'",'list',
'stats::se.contrast','==',"'v<double>','character'",'v<logical>',
'stats::se.contrast','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::se.contrast','rep',"'integer','double'",'integer',
'stats::summary.manova','summary',"'list','character'",'list',
'stats::is.leaf','str',"'list','double','character'",'NULL',
'stats::is.leaf','str',"'list','double'",'NULL',
'stats::is.leaf','c',"'double','logical'",'v<double>',
'stats::is.leaf','list',"'v<double>','double','double'",'list',
'stats::is.leaf','plot',"'list','list','character','logical'",'NULL',
'stats::is.leaf','plot',"'list','list','double','logical'",'NULL',
'stats::is.leaf','list',"'v<integer>','v<double>','v<integer>'",'list',
'stats::is.leaf','plot',"'list','list','logical'",'NULL',
'stats::is.leaf','cut',"'list','double'",'list',
'stats::is.leaf','plot',"'list','list'",'NULL',
'stats::is.leaf','plot',"'list','list','logical','character'",'NULL',
'stats::is.leaf','plot',"'list','list','list','logical'",'NULL',
'stats::is.leaf','str',"'list','character'",'NULL',
'stats::is.leaf','merge',"'list','list'",'list',
'stats::is.leaf','merge',"'list','list','list','list'",'list',
'stats::is.leaf','plot',"'list','v<double>','v<double>'",'NULL',
'stats::is.leaf','list',"'v<integer>','v<double>','v<integer>','v<character>','double','character'",'list',
'stats::is.leaf','paste',"'integer','character'",'character',
'stats::is.leaf','plot',"'list','list','character'",'NULL',
'stats::order.dendrogram','rownames',"'list'",'v<character>',
'stats::ts.plot','list',"'character','character','v<integer>'",'list',
'stats::reshape','summary',"'list'",'character',
'stats::reshape','reshape',"'list','character','character','character','character','character'",'list',
'stats::reshape','reshape',"'list','character'",'list',
'stats::reshape','reshape',"'list','character','list','character','character'",'list',
'stats::reshape','data.frame',"'v<integer>','character','v<double>','v<double>'",'list',
'stats::reshape','reshape',"'list','character','character','character','character'",'list',
'stats::reshape','data.frame',"'v<integer>','v<double>','v<double>','v<double>','v<double>'",'list',
'stats::reshape','reshape',"'list','character','v<integer>','character'",'list',
'stats::reshape','reshape',"'list','character','v<character>','v<character>','character','list','character'",'list',
'stats::reshape','unique',"'v<character>'",'v<character>',
'stats::reshape','reshape',"'list','character','v<character>'",'list',
'stats::reshape','rep',"'v<double>','double'",'v<double>',
'stats::reshape','data.frame',"'v<integer>','v<integer>','v<double>','v<double>'",'list',
'stats::reshape','reshape',"'list','v<character>','character'",'list',
'stats::reshape','reshape',"'list'",'list',
'stats::selfStart','nrow',"'list'",'integer',
'stats::selfStart','<',"'integer','double'",'logical',
'stats::selfStart','setNames',"'v<double>','list'",'v<double>',
'stats::selfStart','==',"'character','v<character>'",'v<logical>',
'stats::selfStart','which',"'v<logical>'",'integer',
'stats::selfStart','names',"'v<character>'",'v<character>',
'stats::selfStart','==',"'v<character>','integer'",'v<logical>',
'stats::selfStart','sapply',"'v<character>','function','integer','character'",'list',
'stats::selfStart','sapply',"'list','function','character'",'v<logical>',
'stats::selfStart','str',"'list','logical'",'NULL',
'stats::sd','sd',"'v<integer>'",'double',
'stats::SSmicmen','plot',"'v<double>','v<double>','character','double','v<double>','v<double>','logical','logical','character'",'NULL',
'stats::simulate','factor',"'v<double>','v<character>'",'integer',
'stats::smoothEnds','is.na',"'v<double>'",'v<logical>',
'stats::smoothEnds','identical',"'v<integer>','v<integer>'",'logical',
'stats::smoothEnds','c',"'v<integer>','integer'",'v<integer>',
'stats::HoltWinters','+',"'double','v<double>'",'double',
'stats::summary.lm','list',"'v<double>','integer','logical'",'list',
'stats::hclust','==',"'v<integer>','integer'",'v<logical>',
'stats::hclust','plot',"'list','logical','double','character'",'NULL',
'stats::fisher.test','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::isoreg','c',"'double','double','v<integer>','v<integer>','double','double'",'v<double>',
'stats::isoreg','sample',"'v<double>'",'v<double>',
'stats::uniroot','ifelse',"'v<logical>','double','v<double>'",'v<double>',
'stats::uniroot','sapply',"'v<double>','function'",'v<double>',
'stats::runmed','plot',"'v<double>','character','v<double>','character'",'NULL',
'stats::runmed','plot',"'v<double>'",'NULL',
'stats::runmed','seq',"'v<double>'",'v<integer>',
'stats::runmed','c',"'double','logical','logical'",'v<double>',
'stats::runmed','rep',"'logical','double'",'v<logical>',
'stats::runmed','c',"'v<logical>','v<double>'",'v<double>',
'stats::runmed','c',"'character','v<character>'",'v<character>',
'stats::StructTS','c',"'double','double','logical','logical'",'v<double>',
'base::$','c',"'logical','logical','logical'",'v<logical>',
'base::$','list',"'double','double','double','double'",'list',
'base::$','names',"'double'",'character',
'base::$','identical',"'character','character'",'logical',
'base::$','names',"'double'",'NULL',
'base::$','list',"'double','character'",'list',
'base::$','list',"'list','v<integer>'",'list',
'base::(','identical',"'expression','expression'",'logical',
'base::*','print',"'double','double'",'double',
'base:::',':',"'double','double'",'v<double>',
'base:::',':',"'integer','integer'",'integer',
'base::<','sort',"'v<character>'",'v<character>',
'base::as.matrix.data.frame','is.matrix',"'list'",'logical',
'base::F','as.logical',"'v<double>'",'v<logical>',
'base::F','c',"'character','character','character','character','character','character','character','character','character','character','character','character'",'v<character>',
'base::F','as.logical',"'v<character>'",'v<logical>',
'base::F','as.logical',"'integer'",'v<logical>',
'base::registerS3methods','as.list',"'environment','logical'",'list',
'base::c','c',"'v<integer>','double','character'",'v<character>',
'base::c','as.vector',"'v<integer>'",'v<integer>',
'base::c','c',"'list','v<integer>'",'list',
'base::c','c',"'list','list'",'list',
'base::c','c',"'list','logical'",'double',
'base::c','c',"'list','logical'",'v<double>',
'base::t','seq',"'integer'",'v<integer>',
'base::array2DF','tapply',"'v<double>','list','function','logical'",'list',
'base::array2DF','tapply',"'v<double>','list','function'",'list',
'base::array2DF','data.frame',"'double','character'",'list',
'base::array2DF','sample',"'v<double>','double'",'v<double>',
'base::array2DF','tapply',"'v<double>','list','function','double'",'list',
'base::array2DF','sample',"'v<double>','logical'",'v<double>',
'base::qr.solve','+',"'v<double>','v<integer>'",'v<double>',
'base::str2expression','cat',"'character','character'",'NULL',
'base::str2expression','identical',"'<-','<-'",'logical',
'base::str2expression','identical',"'name','name'",'logical',
'base::dynGet','as.list',"'v<character>'",'list',
'base::interaction','identical',"'integer','integer'",'logical',
'base::gamma','print',"'v<double>'",'v<double>',
'base::gamma','*',"'v<integer>','double'",'v<double>',
'base::gamma','plot',"'v<double>','v<double>','v<double>','character','character','double','expression'",'NULL',
'base::gamma','>=',"'integer','double'",'logical',
'base::gamma','paste0',"'character','character'",'character',
'base::gamma','>=',"'double','double'",'logical',
'base::gamma','max',"'double','double'",'double',
'base::gamma','cat',"'character','character','v<character>'",'NULL',
'base::gamma','<=',"'v<integer>','double'",'v<logical>',
'base::gamma','==',"'v<integer>','double'",'v<logical>',
'base::gamma',':',"'double','double'",'double',
'base::gamma','sapply',"'v<integer>','function'",'v<double>',
'base::gamma','ifelse',"'v<logical>','v<logical>','v<double>'",'v<double>',
'base::as.package_version','<',"'list','character'",'v<logical>',
'base::as.package_version','min',"'list'",'list',
'base::as.package_version','max',"'list'",'list',
'base::as.package_version','<=',"'list','character'",'logical',
'base::as.package_version','is.na',"'list'",'v<logical>',
'base::as.package_version','c',"'v<logical>','logical'",'v<logical>',
'base::as.package_version','identical',"'v<logical>','v<logical>'",'logical',
'base::.GlobalEnv','is.environment',"'environment'",'logical',
'base::.GlobalEnv','==',"'integer','integer'",'logical',
'base::print.srcfile','summary',"'srcfile'",'srcfile',
'base::is.na<-','paste',"'v<double>'",'v<character>',
'base::is.na<-','is.na',"'v<character>'",'v<logical>',
'base::is.na<-','c',"'logical','v<integer>'",'v<integer>',
'base::is.na<-','list',"'v<integer>','v<integer>','v<character>','v<character>'",'list',
'base::is.na<-','sapply',"'list','function'",'v<logical>',
'base::.handleSimpleError','print',"'character'",'character',
'base::summary.connection','print',"'v<character>'",'v<character>',
'base::subset.default','>',"'v<integer>','double'",'v<logical>',
'base::subset.default','subset',"'v<integer>','v<logical>'",'v<integer>',
'base::subset.default','%in%',"'v<character>','v<character>'",'v<logical>',
'base::Ops.POSIXt','is.list',"'list'",'logical',
'base::Ops.POSIXt','+',"'double','integer'",'double',
'base::Ops.POSIXt','length',"'list'",'integer',
'base::Ops.POSIXt','seq_along',"'list'",'v<integer>',
'base::quote','typeof',"'call'",'character',
'base::quote','typeof',"'expression'",'character',
'base::quote','typeof',"'name'",'character',
'base::inverse.rle','rep',"'v<integer>','v<integer>'",'v<integer>',
'base::inverse.rle','c',"'logical','logical','logical','logical','logical','logical','logical','logical','logical'",'v<logical>',
'base::inverse.rle','as.character',"'v<logical>'",'v<character>',
'base::inverse.rle','print',"'list','character'",'list',
'base::inverse.rle','==',"'v<logical>','v<logical>'",'v<logical>',
'base::getOption','as.logical',"'logical'",'logical',
'base::Im','+',"'v<integer>','v<complex>'",'v<complex>',
'base::Im','/',"'v<complex>','double'",'v<complex>',
'base::Im','plot',"'v<complex>','v<double>','v<double>','character','double','expression'",'NULL',
'base::Im','+',"'double','complex'",'complex',
'base::Im','identical',"'complex','complex'",'logical',
'base::Im','list',"'logical','integer','double','character','complex'",'list',
'base::Im','vapply',"'list','function','complex'",'v<complex>',
'base::Im','is.na',"'v<complex>'",'v<logical>',
'base::Im','paste0',"'character','v<double>','character','v<double>','character'",'v<character>',
'base::Im','str',"'complex'",'NULL',
'base::Im','is.na',"'complex'",'logical',
'base::Im','paste0',"'character','double','character','double','character'",'character',
'base::rapply','list',"'double','list'",'list',
'base::rapply','list',"'list','character'",'list',
'base::rapply','list',"'v<expression>','character'",'list',
'base::rapply','as.character',"'name'",'character',
'base::rapply','as.character',"'call'",'v<character>',
'base::rapply','as.character',"'character'",'character',
'base::rapply','identical',"'v<expression>','v<expression>'",'logical',
'base::library.dynam','tail',"'list','double'",'list',
'base::evalq','*',"'integer','double'",'double',
'base::units.difftime','as.numeric',"'double','character'",'v<double>',
'base::unique.array','c',"'v<integer>','v<integer>','v<double>'",'v<double>',
'base::unique.array','unique',"'v<double>','logical'",'v<double>',
'base::unique.array','sample',"'double','double','logical'",'v<integer>',
'base::unique.array','unique',"'v<integer>'",'v<integer>',
'base::unique.array','unique',"'list'",'list',
'base::.LC.categories','sapply',"'list','function'",'v<integer>',
'base::.LC.categories','sapply',"'list','function','integer'",'v<character>',
'base::.LC.categories','setNames',"'v<character>','v<character>'",'v<character>',
'base::dimnames.data.frame','array',"'v<integer>','v<integer>'",'integer',
'base::dimnames.data.frame','dimnames',"'integer'",'list',
'base::dimnames.data.frame','list',"'NULL'",'list',
'base::dimnames.data.frame','tail',"'v<character>'",'v<character>',
'base::require','match',"'character','v<character>'",'integer',
'base::if','print',"'v<integer>'",'v<integer>',
'base::if','cat',"'double','character','double','character','character'",'NULL',
'base::if','unique',"'integer'",'integer',
'base::if','head',"'v<double>'",'v<double>',
'base::unique.warnings','cat',"'character','integer','character'",'NULL',
'base::unique.warnings','cat',"'integer','character'",'NULL',
'base::lapply','c',"'logical','logical','logical','logical'",'v<logical>',
'base::lapply','list',"'v<integer>','v<double>','v<logical>'",'list',
'base::lapply','mean',"'v<logical>'",'double',
'base::lapply','lapply',"'list','function'",'list',
'base::lapply','quantile',"'v<integer>','v<double>'",'v<double>',
'base::lapply','quantile',"'v<logical>','v<double>'",'v<double>',
'base::lapply','lapply',"'list','function','v<double>'",'list',
'base::lapply','quantile',"'v<integer>'",'v<double>',
'base::lapply','quantile',"'v<logical>'",'v<double>',
'base::lapply','sapply',"'v<integer>','function'",'list',
'base::lapply','sapply',"'v<double>','function','v<double>','character'",'double',
'base::lapply','list',"'NULL','NULL','v<character>'",'list',
'base::paste','paste0',"'v<integer>'",'v<character>',
'base::paste','c',"'character','character','character','v<character>'",'v<character>',
'base::paste','paste0',"'v<integer>','v<character>'",'v<character>',
'base::paste','paste',"'v<character>','character','v<character>','character'",'v<character>',
'base::paste','paste',"'v<character>','v<character>'",'v<character>',
'base::paste','paste',"'v<character>','character','v<character>','character','character'",'v<character>',
'base::paste','paste0',"'v<character>','character'",'character',
'base::paste','paste',"'character','character','character','character'",'character',
'base::paste','paste',"'v<character>','v<character>','character','character'",'character',
'base::paste','paste',"'NULL','v<integer>'",'v<character>',
'base::paste','paste',"'character','double','character','logical'",'character',
'base::paste','paste',"'character','NULL','character','character'",'character',
'base::paste','paste',"'character','NULL','character','logical'",'character',
'base::paste','paste',"'character'",'character',
'base::paste','paste',"'character','logical'",'character',
'base::paste','paste',"'NULL','character'",'character',
'base::paste','paste',"'NULL','character','logical'",'character',
'base::match','c',"'character','character','character','character','character','logical','character','character','character','character','character'",'v<character>',
'base::match','c',"'v<character>','v<character>'",'v<character>',
'base::match','c',"'double','logical','double'",'v<double>',
'base::match','c',"'v<complex>','v<complex>','v<complex>','v<complex>'",'v<complex>',
'base::match','match',"'v<complex>','v<complex>'",'v<integer>',
'base::match','unique',"'v<complex>'",'v<complex>',
'base::match','identical',"'v<complex>','v<complex>'",'logical',
'base::order','c',"'double','double','v<integer>','v<integer>','double'",'v<double>',
'base::order','order',"'v<double>','v<double>','v<double>'",'v<integer>',
'base::order','as.character',"'v<double>'",'v<character>',
'base::order','order',"'v<double>','v<integer>','v<double>'",'v<integer>',
'base::order','order',"'v<double>','v<character>','v<double>','v<logical>','character'",'v<integer>',
'base::order','transform',"'list','integer'",'list',
'base::order','order',"'v<double>','v<double>','integer'",'v<integer>',
'base::order','data.frame',"'v<double>','v<double>','v<double>','v<double>'",'list',
'base::order','order',"'v<double>','v<double>','v<double>','v<double>'",'v<integer>',
'base::order','order',"'v<integer>'",'v<integer>',
'base::order','c',"'double','double','double','logical','double'",'v<double>',
'base::order','c',"'double','logical','double','double','double'",'v<double>',
'base::order','order',"'v<double>','v<double>'",'v<integer>',
'base::order','order',"'v<double>','v<double>','logical'",'v<integer>',
'base::rank','rank',"'v<double>'",'v<double>',
'base::rank','rank',"'v<double>','character'",'v<integer>',
'base::rank','+',"'v<integer>','v<integer>'",'v<integer>',
'base::rank','sapply',"'NULL','function'",'list',
'base::rank','cbind',"'v<double>','list'",'list',
'base::rank','sample',"'double'",'v<integer>',
'base::seq.default','seq',"'double'",'v<integer>',
'base::startsWith','==',"'v<character>','character'",'v<logical>',
'base::[<-.Date','seq',"'double','double','character'",'double',
'base::[<-.Date','seq_along',"'double'",'v<integer>',
'base::aperm.default','summary',"'double'",'list',
'base::as.character.hexmode','class',"'integer'",'character',
'base::as.character.hexmode','as.integer',"'integer'",'integer',
'base::as.character.hexmode','c',"'logical','double'",'v<double>',
'base::as.character.hexmode','c',"'v<integer>','v<character>'",'v<character>',
'base::as.character.hexmode','==',"'v<character>','v<character>'",'v<logical>',
'base::as.character.hexmode','as.integer',"'double'",'v<integer>',
'base::kappa.qr','rep',"'v<double>','integer'",'v<double>',
'base::colMeans','-',"'v<integer>','complex'",'v<complex>',
'base::find.package','lapply',"'v<character>','function'",'list',
'base::weekdays.POSIXt','as.data.frame',"'list'",'list',
'base::weekdays.POSIXt','+',"'double','v<integer>'",'double',
'base::weekdays.POSIXt','cbind',"'double','list','integer'",'list',
'base::weekdays.POSIXt','seq',"'double','double','double'",'double',
'base::weekdays.POSIXt','as.numeric',"'double'",'double',
'base::autoloader','list',"'character','character'",'list',
'base::Encoding','cat',"'character','character','character','character','character','character','character','character'",'NULL',
'base::do.call','c',"'list','character'",'list',
'base::do.call','paste',"'integer','v<integer>','integer','character'",'v<character>',
'base::do.call','list',"'name','name'",'list',
'base::do.call','paste',"'name','name'",'character',
'base::do.call','list',"'name'",'list',
'base::chooseOpsMethod.default','identical',"'double','character'",'logical',
'base::levels.default','list',"'v<character>','character'",'list',
'base::levels.default','list',"'character','character','character'",'list',
'base::readBin','paste',"'character','v<integer>','character'",'character',
'base::sys.call','cat',"'character','v<integer>','character'",'NULL',
'base::sys.call','print',"'function'",'function',
'base::sys.call','str',"'call'",'NULL',
'base::sys.call','print',"'environment'",'environment',
'base::data.matrix','seq',"'double','character','double'",'double',
'base::data.matrix','data.frame',"'v<integer>','v<character>','double','logical'",'list',
'base::all.equal.formula','as.environment',"'character'",'environment',
'base::all.equal.formula','is.character',"'v<character>'",'logical',
'base::all.equal.formula','as.numeric',"'character'",'double',
'base::all.equal.formula','str',"'logical'",'NULL',
'base::all.equal.formula','cat',"'character','character','double','character'",'NULL',
'base::all.equal.formula','c',"'logical'",'logical',
'base::all.equal.formula','==',"'character','character'",'logical',
'base::print.noquote','as.logical',"'v<logical>'",'v<logical>',
'base::print.noquote','length',"'v<logical>'",'integer',
'base::print.noquote','+',"'double','v<logical>'",'v<double>',
'base::Ops.ordered','factor',"'integer'",'integer',
'base::Ops.ordered','factor',"'v<double>','NULL'",'integer',
'base::Ops.ordered','is.na',"'integer'",'v<logical>',
'base::Ops.ordered','c',"'v<integer>','logical'",'v<integer>',
'base::Ops.ordered','factor',"'v<integer>','character'",'integer',
'base::Ops.ordered','factor',"'v<integer>','NULL'",'integer',
'base::Ops.ordered','factor',"'v<character>','v<character>','v<character>'",'integer',
'base::as.character.octmode','c',"'integer','character','character'",'v<character>',
'base::print.listof','table',"'v<double>','v<double>'",'integer',
'base::print.listof','print',"'integer','character'",'integer',
'base::print.listof','length',"'integer'",'integer',
'base::print.listof','*',"'integer','v<double>'",'double',
'base::print.listof','table',"'double','logical'",'integer',
'base::transform.data.frame','transform',"'v<integer>','v<double>'",'list',
'base::unname','cut',"'v<double>','v<double>'",'integer',
'base::sample','sample',"'v<integer>'",'v<integer>',
'base::sample','sample',"'v<integer>','logical'",'v<integer>',
'base::sample','sample',"'integer'",'v<integer>',
'base::sample','sample',"'integer'",'integer',
'base::format.POSIXct','as.character',"'list'",'v<character>',
'base::format.POSIXct','as.character',"'list'",'character',
'base::format.POSIXct','c',"'double','double','double','logical'",'v<double>',
'base::is.call','class',"'call'",'character',
'base::row.names','data.frame',"'v<logical>','v<double>'",'list',
'base::switch','cat',"'character','character','v<integer>','character'",'NULL',
'base::switch','cat',"'character','character','NULL','character'",'NULL',
'base::switch','cat',"'character','character','character','character'",'NULL',
'base::switch','print',"'NULL'",'NULL',
'base::lengths','lapply',"'list','function','logical'",'list',
'base::lengths','rep',"'v<double>','v<integer>'",'v<double>',
'base::lengths','vapply',"'list','function','integer'",'v<integer>',
'base::save','list',"'double','logical','character'",'list',
'base::save','list',"'logical','logical'",'list',
'base::is.null','is.null',"'list'",'logical',
'base::is.null','is.null',"'integer'",'logical',
'base::is.null','is.null',"'logical'",'logical',
'base::pretty','lapply',"'v<integer>','function'",'list',
'base::pretty','lapply',"'v<integer>','function','double'",'list',
'base::pretty','cat',"'character','character','character','v<character>','character'",'NULL',
'base::range.POSIXct','c',"'logical','v<integer>','v<double>'",'v<double>',
'base::range.POSIXct','range',"'v<double>','logical'",'v<double>',
'base::arrayInd','c',"'logical','logical','logical','logical','logical','logical','logical'",'v<logical>',
'base::arrayInd','seq',"'v<logical>'",'v<integer>',
'base::arrayInd','which',"'v<logical>','logical'",'v<integer>',
'base::arrayInd','c',"'integer'",'v<integer>',
'base::arrayInd','*',"'integer','v<integer>'",'v<integer>',
'base::arrayInd','c',"'v<integer>','v<integer>','v<integer>','v<integer>','v<integer>','integer'",'v<integer>',
'base::casefold','names',"'character'",'NULL',
'base::casefold','sapply',"'list','function','logical'",'character',
'base::casefold','names',"'v<character>'",'NULL',
'base::casefold','sapply',"'list','function','logical'",'v<character>',
'base::casefold','c',"'v<character>','v<character>','character'",'v<character>',
'base::is.language','list',"'expression','name','expression','call'",'list',
'base::get0','identical',"'NULL','NULL'",'logical',
'base::as.vector','data.frame',"'v<integer>','v<integer>'",'list',
'base::split<-.default','sd',"'v<double>'",'double',
'base::split<-.default','tapply',"'v<double>','integer','function'",'double',
'base::split<-.default','head',"'list'",'list',
'base::split<-.default','sd',"'v<double>','logical'",'double',
'base::split<-.default','tapply',"'v<double>','v<integer>','function','logical'",'double',
'base::is.pairlist','as.list',"'environment'",'list',
'base::rep.Date','rep',"'v<integer>','double','double'",'v<integer>',
'base::rep.Date','list',"'v<integer>','character'",'list',
'base::rep.Date','rep',"'list','double'",'list',
'base::rep.Date','rep',"'list','v<double>'",'list',
'base::length','length',"'formula'",'integer',
'base::length','length',"'v<expression>'",'integer',
'base::length','length',"'call'",'integer',
'base::formals','names',"'list'",'character',
'base::formatC','*',"'v<integer>','v<double>'",'v<double>',
'base::formatC','paste',"'v<integer>','character'",'character',
'base::formatC','sapply',"'v<integer>','function'",'v<character>',
'base::formatC','*',"'complex','v<double>'",'v<complex>',
'base::formatC','+',"'v<double>','v<complex>'",'v<complex>',
'base::formatC','head',"'v<character>','double'",'v<character>',
'base::is.numeric.Date','factor',"'v<integer>'",'integer',
'base::make.unique','c',"'v<character>','character'",'v<character>',
'base::make.unique','c',"'v<character>','character','character'",'v<character>',
'base::make.unique','data.frame',"'double','double','double'",'list',
'base::make.unique','data.frame',"'double','double'",'list',
'base::make.unique','data.frame',"'list','double'",'list',
'base::class<-','class',"'double'",'character',
'base::class<-','class',"'name'",'character',
'base::class<-','class',"'<-'",'character',
'base::class<-','class',"'('",'character',
'base::class<-','class',"'if'",'character',
'base::intersect','sample',"'v<integer>','double'",'v<integer>',
'base::intersect','sort',"'v<integer>'",'v<integer>',
'base::as.table.default','table',"'integer','integer'",'integer',
'base::as.table.default','cut',"'v<integer>','v<double>'",'integer',
'base::as.table.default','table',"'integer','v<integer>'",'integer',
'base::as.table.default','sample',"'v<character>'",'v<character>',
'base::as.table.default','table',"'v<character>','v<character>','NULL'",'integer',
'base::as.table.default','table',"'v<character>','v<character>','double'",'integer',
'base::as.table.default','/',"'double','v<integer>'",'v<double>',
'base::as.table.default','c',"'logical','v<double>'",'v<double>',
'base::as.table.default','table',"'v<double>','NULL'",'integer',
'base::as.table.default','table',"'integer','character'",'integer',
'base::as.table.default','c',"'double','logical','v<integer>','v<integer>'",'v<double>',
'base::as.table.default','table',"'integer','NULL'",'integer',
'base::as.table.default','table',"'integer','logical'",'integer',
'base::as.table.default','table',"'v<logical>','v<integer>','character'",'integer',
'base::as.table.default','table',"'v<logical>','integer'",'integer',
'base::normalizePath','cat',"'v<character>','character'",'NULL',
'base::sort','sort',"'v<integer>','v<double>'",'v<integer>',
'base::sort','sort',"'v<integer>','character','logical'",'list',
'base::sort','c',"'v<integer>','v<integer>','double'",'v<double>',
'base::print.data.frame','data.frame',"'v<integer>','integer','character'",'list',
'base::print.data.frame','print',"'list','logical','logical'",'list',
'base::grep','cat',"'character','v<character>','character'",'NULL',
'base::grep','c',"'character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character','character'",'v<character>',
'base::grep','match',"'v<character>','v<character>'",'v<integer>',
'base::grep','names',"'NULL'",'NULL',
'base::grep','sapply',"'v<character>','function'",'list',
'base::grep','seq_along',"'v<character>'",'v<integer>',
'base::grep','lapply',"'list','function','v<integer>'",'list',
'base::strsplit','rev',"'v<character>'",'v<character>',
'base::strsplit','sapply',"'list','function','character'",'v<character>',
'base::strsplit','-',"'v<integer>','integer'",'v<integer>',
'base::strsplit','rev',"'character'",'character',
'base::Summary.data.frame','data.frame',"'v<integer>','v<double>'",'list',
'base::Summary.data.frame','+',"'double','list'",'list',
'base::Summary.data.frame','class',"'list'",'character',
'base::merge.data.frame','data.frame',"'character','v<character>','v<character>'",'list',
'base::merge.data.frame','c',"'logical','character','logical','logical','logical','logical','character'",'v<character>',
'base::merge.data.frame','merge',"'list','list','character','character'",'list',
'base::unloadNamespace','identical',"'logical','logical'",'logical',
'base::unloadNamespace','is.null',"'character'",'logical',
'base::%o%','paste',"'v<integer>','character','character'",'v<character>',
'base::%o%','paste',"'v<character>','v<integer>'",'v<character>',
'base::apply','c',"'v<double>','double'",'v<double>',
'base::apply','apply',"'double','v<integer>','function'",'double',
'base::apply','list',"'NULL','NULL'",'list',
'base::apply','c',"'v<integer>','double','v<integer>'",'v<double>',
'base::apply','apply',"'integer','v<integer>','function'",'list',
'base::apply','typeof',"'list'",'character',
'base::apply','dim',"'list'",'v<integer>',
'base::apply','apply',"'integer','double','function'",'list',
'base::chkDots','seq',"'double','double','character'",'v<integer>',
'base::OlsonNames','vapply',"'list','function','character','double'",'v<character>',
'base::OlsonNames','table',"'v<character>'",'integer',
'base::OlsonNames','>=',"'v<integer>','double'",'v<logical>',
'base::topenv','identical',"'environment','environment'",'logical',
'base::as.character.factor','as.character',"'formula'",'v<character>',
'base::as.character.factor','as.character',"'double'",'character',
'base::as.character.factor','list',"'character','v<character>'",'list',
'base::format.default','data.frame',"'v<character>','logical'",'list',
'base::format.default','sapply',"'v<double>','standardGeneric','integer'",'v<character>',
'base::format.default','list',"'v<character>','v<complex>','v<double>','v<character>','call','expression'",'list',
'base::as.expression.default','length',"'expression'",'integer',
'base::as.expression.default','sapply',"'v<expression>','function'",'v<character>',
'base::as.expression.default','typeof',"'double'",'character',
'base::bitwAnd','c',"'raw','raw'",'v<raw>',
'base::cut.POSIXt','cut',"'double','character'",'integer',
'base::cut.POSIXt','mean',"'integer'",'double',
'base::cut.POSIXt','aggregate',"'v<integer>','list','function'",'list',
'base::file.size','>',"'double','double'",'v<logical>',
'base::findInterval','findInterval',"'v<integer>','v<double>'",'v<integer>',
'base::findInterval','+',"'double'",'double',
'base::findInterval','<',"'v<integer>','double'",'v<logical>',
'base::findInterval','findInterval',"'v<integer>','v<double>','logical'",'v<integer>',
'base::findInterval',':',"'integer','double'",'v<integer>',
'base::findInterval','-',"'integer','v<integer>'",'v<integer>',
'base::sprintf','paste0',"'character','v<integer>','character'",'v<character>',
'base::duplicated.matrix','c',"'v<integer>','v<integer>','v<integer>','v<integer>'",'v<integer>',
'base::duplicated.matrix','unique',"'v<integer>','logical'",'v<integer>',
'base::cbind.data.frame','seq_along',"'integer'",'v<integer>',
'base::cbind.data.frame','setNames',"'integer','v<character>'",'integer',
'base::cbind.data.frame','data.frame',"'double','integer','integer'",'list',
'base::cbind.data.frame','data.frame',"'double','character','character'",'list',
'base::cbind.data.frame','rbind',"'list','list'",'list',
'base::cbind.data.frame','rbind',"'list','list','logical'",'list',
'base::cbind.data.frame','as.list',"'list'",'list',
'base::names','names',"'v<double>'",'v<character>',
'base::names','list',"'double','character','v<integer>'",'list',
'base::names','names',"'v<integer>'",'NULL',
'base::names','c',"'environment','environment'",'list',
'base::names','names',"'environment'",'v<character>',
'base::tanpi','%in%',"'v<double>','v<double>'",'v<logical>',
'base::prmatrix','paste',"'character','v<integer>'",'v<character>',
'base::identical','identical',"'double','NULL'",'logical',
'base::identical','as.integer',"'double'",'integer',
'base::identical','identical',"'double','integer'",'logical',
'base::identical','identical',"'double','double','logical'",'logical',
